Attribute_ID,Attribute_Name,Arabic_Name,Nature,Emotion_ID,Emotion_Name,Emotion_Arabic,Role,Quran_Ref,Hadith_Ref,Category,Notes
14,Yas,اليأس,Negative,6,Hopelessness,اليأس,Universal_Cure,Quran 39:53,Sahih Muslim 2877,Universal,Raja is cure
15,Shirk al-Asghar,الشرك الأصغر,Negative,13,Showing Off,الرياء,Disease,Quran 31:13,Musnad Ahmad 23630,Primary,Minor shirk - showing off
15,Shirk al-Asghar,الشرك الأصغر,Negative,40,Emptiness,الفراغ الروحي,Disease,Quran 31:13,,Secondary,Empty worship
15,Shirk al-Asghar,الشرك الأصغر,Negative,13,Showing Off,الرياء,Universal_Cure,Quran 98:5,Sahih al-Bukhari 1,Universal,Ikhlas is cure
16,Karahiyyat al-Mawt,كراهية الموت,Negative,34,Hopelessness,اليأس,Disease,Quran 62:8,Sahih al-Bukhari 6412,Secondary,Fear of death
16,Karahiyyat al-Mawt,كراهية الموت,Negative,4,Fear,الخوف,Disease,Quran 62:8,,Secondary,Excessive fear of death
16,Karahiyyat al-Mawt,كراهية الموت,Negative,34,Hopelessness,اليأس,Universal_Cure,Quran 29:5,Sahih al-Bukhari 6507,Universal,Shawq ila Allah is cure
17,Sukhriyyah,السخرية,Negative,1,Anger,الغضب,Disease,Quran 49:11,Sahih Muslim 2564,Secondary,Anger can lead to mockery
17,Sukhriyyah,السخرية,Negative,12,Pride,العجب,Disease,Quran 49:11,,Secondary,Pride causes mocking
17,Sukhriyyah,السخرية,Negative,16,Hatred,الحقد,Disease,Quran 49:11,,Secondary,Grudge can manifest as mockery
18,Tazkiyat an-Nafs al-Madhmumah,تزكية النفس المذمومة,Negative,12,Pride,العجب,Disease,Quran 53:32,Sahih Muslim 2865,Primary,Self-praise in negative form
18,Tazkiyat an-Nafs al-Madhmumah,تزكية النفس المذمومة,Negative,11,Arrogance,الكبر,Disease,Quran 53:32,,Secondary,Related to pride
18,Tazkiyat an-Nafs al-Madhmumah,تزكية النفس المذمومة,Negative,7,Guilt,الندم,Disease,Quran 53:32,,Secondary,False self-justification
19,Taassub,التعصب,Negative,11,Arrogance,الكبر,Disease,Quran 5:8,Sahih Muslim 1848,Primary,Fanaticism from pride
19,Taassub,التعصب,Negative,16,Hatred,الحقد,Disease,Quran 5:8,,Secondary,Grudge can lead to fanaticism
19,Taassub,التعصب,Negative,18,Suspicion,سوء الظن,Disease,Quran 5:8,,Secondary,Suspicion can become fanaticism
20,Wahn,الوهن,Negative,8,Laziness,الكسل,Disease,Quran 8:46,Sunan Abu Dawud 4297,Primary,Weakness
20,Wahn,الوهن,Negative,4,Fear,الخوف,Disease,Quran 8:46,,Secondary,Excessive fear weakens
20,Wahn,الوهن,Negative,32,Weak Faith,ضعف الإيمان,Disease,Quran 8:46,,Secondary,Weakens faith
21,Hasad,الحسد,Negative,2,Jealousy,الحسد,Disease,Quran 113:5,Sahih Muslim 2564,Primary,Envy itself
21,Hasad,الحسد,Negative,39,Envy of Status,حب الجاه,Disease,Quran 113:5,,Secondary,Envy of others' status
21,Hasad,الحسد,Negative,2,Jealousy,الحسد,Universal_Cure,Quran 14:7,Sahih Muslim 2819,Universal,Shukr is cure
22,Hiqd,الحقد,Negative,16,Hatred,الحقد,Disease,Quran 59:10,Sahih Muslim 2563,Primary,Grudge itself
22,Hiqd,الحقد,Negative,17,Desire for Revenge,الانتقام,Disease,Quran 59:10,,Secondary,Revenge from grudge
22,Hiqd,الحقد,Negative,16,Hatred,الحقد,Universal_Cure,Quran 24:22,Sahih Muslim 2588,Universal,Safh is cure
23,Ghadab,الغضب,Negative,1,Anger,الغضب,Disease,Quran 3:134,Sahih al-Bukhari 6116,Primary,Anger itself
23,Ghadab,الغضب,Negative,17,Desire for Revenge,الانتقام,Disease,Quran 3:134,,Secondary,Anger drives revenge
23,Ghadab,الغضب,Negative,1,Anger,الغضب,Universal_Cure,Quran 3:134,Sahih al-Bukhari 6114,Universal,Hilm is cure
24,Bukhl,البخل,Negative,25,Stinginess,البخل,Disease,Quran 3:180,Sahih Muslim 1021,Primary,Stinginess itself
24,Bukhl,البخل,Negative,35,Stinginess,البخل,Disease,Quran 3:180,,Primary,Repeated
24,Bukhl,البخل,Negative,36,Laziness,الكسل,Disease,Quran 3:180,,Secondary,Stinginess can cause laziness in giving
24,Bukhl,البخل,Negative,25,Stinginess,البخل,Universal_Cure,Quran 2:261,Sahih al-Bukhari 6035,Universal,Jud/Sakhawah is cure
25,Shuhh,الشح,Negative,25,Stinginess,البخل,Disease,Quran 59:9,Sahih Muslim 2578,Primary,Extreme stinginess
25,Shuhh,الشح,Negative,36,Laziness,الكسل,Disease,Quran 59:9,,Secondary,Extreme stinginess in giving
25,Shuhh,الشح,Negative,25,Stinginess,البخل,Universal_Cure,Quran 59:9,Sahih al-Bukhari 3798,Universal,Ithar is cure
26,Tama,الطمع,Negative,14,Greed,الطمع,Disease,Quran 102:1,Sahih Muslim 1051,Primary,Greed itself
26,Tama,الطمع,Negative,39,Envy of Status,حب الجاه,Disease,Quran 102:1,,Secondary,Greed for status
26,Tama,الطمع,Negative,14,Greed,الطمع,Universal_Cure,Quran 20:131,Sahih Muslim 1051,Universal,Qana'ah is cure
27,Hubb ad-Dunya,حب الدنيا,Negative,15,Love of Dunya,حب الدنيا,Disease,Quran 57:20,Sahih Muslim 2956,Primary,Worldly love
27,Hubb ad-Dunya,حب الدنيا,Negative,26,Excessive Attachment,التعلق الزائد,Disease,Quran 57:20,,Primary,Excessive dunya attachment
27,Hubb ad-Dunya,حب الدنيا,Negative,48,Spiritual Longing,الشوق إلى الله,Disease,Quran 57:20,,Secondary,Worldly love opposes spiritual longing
27,Hubb ad-Dunya,حب الدنيا,Negative,15,Love of Dunya,حب الدنيا,Universal_Cure,Quran 57:20,Sahih Ibn Majah 4102,Universal,Zuhd is cure
28,Takathur,التكاثر,Negative,15,Love of Dunya,حب الدنيا,Disease,Quran 102:1,Sahih al-Bukhari 6436,Secondary,Rivalry in worldly gain
28,Takathur,التكاثر,Negative,27,Envy of Status,حب الجاه,Disease,Quran 102:1,,Primary,Competition for status
29,Kadhib,الكذب,Negative,13,Showing Off,الرياء,Disease,Quran 9:119,Sahih al-Bukhari 6094,Primary,False display of piety
29,Kadhib,الكذب,Negative,12,Pride,العجب,Disease,Quran 9:119,,Secondary,Pride can lead to lies
29,Kadhib,الكذب,Negative,3,Anxiety,القلق,Disease,Quran 9:119,,Secondary,Anxiety may lead to lies
29,Kadhib,الكذب,Negative,13,Showing Off,الرياء,Universal_Cure,Quran 9:119,Sahih al-Bukhari 6094,Universal,Sidq is cure
30,Khiyanah,الخيانة,Negative,1,Anger,الغضب,Disease,Quran 8:27,Sahih al-Bukhari 33,Secondary,Anger can lead to betrayal
30,Khiyanah,الخيانة,Negative,25,Stinginess,البخل,Disease,Quran 8:27,,Secondary,Stinginess can cause betrayal
30,Khiyanah,الخيانة,Negative,17,Desire for Revenge,الانتقام,Disease,Quran 8:27,,Secondary,Revenge can lead to betrayal
30,Khiyanah,الخيانة,Negative,1,Anger,الغضب,Universal_Cure,Quran 4:58,Sahih al-Bukhari 33,Universal,Amanah is cure
31,Gheebah,الغيبة,Negative,16,Hatred,الحقد,Disease,Quran 49:12,Sahih Muslim 2589,Primary,Backbiting from hatred
31,Gheebah,الغيبة,Negative,18,Suspicion,سوء الظن,Disease,Quran 49:12,,Primary,Backbiting from suspicion
31,Gheebah,الغيبة,Negative,1,Anger,الغضب,Disease,Quran 49:12,,Secondary,Anger can lead to backbiting
31,Gheebah,الغيبة,Negative,16,Hatred,الحقد,Universal_Cure,Quran 50:18,Sahih al-Bukhari 6475,Universal,Hifz al-Lisan is cure
32,Namimah,النميمة,Negative,18,Suspicion,سوء الظن,Disease,Quran 68:11,Sahih Muslim 105,Primary,Tale-carrying from suspicion
32,Namimah,النميمة,Negative,16,Hatred,الحقد,Disease,Quran 68:11,,Secondary,From grudges
32,Namimah,النميمة,Negative,1,Anger,الغضب,Disease,Quran 68:11,,Secondary,Anger can cause tale-carrying
32,Namimah,النميمة,Negative,18,Suspicion,سوء الظن,Universal_Cure,Quran 68:4,Sahih Muslim 2321,Universal,Adab/Islah is cure
33,Su' al-Dhann,سوء الظن,Negative,18,Suspicion,سوء الظن,Disease,Quran 49:12,Sahih al-Bukhari 6066,Primary,Bad assumption itself
33,Su' al-Dhann,سوء الظن,Negative,18,Suspicion,سوء الظن,Disease,Quran 49:12,,Secondary,Bad assumption manifests as suspicion; sign of nifaq
33,Su' al-Dhann,سوء الظن,Negative,2,Jealousy,الحسد,Disease,Quran 49:12,,Secondary,Envy can lead to bad assumption
33,Su' al-Dhann,سوء الظن,Negative,18,Suspicion,سوء الظن,Universal_Cure,Quran 49:12,Sahih Muslim 2563,Universal,Husn az-Zann bin-Nas is cure
34,Tajassus,التجسس,Negative,18,Suspicion,سوء الظن,Disease,Quran 49:12,Sahih Muslim 2564,Primary,Spying from suspicion
34,Tajassus,التجسس,Negative,3,Anxiety,القلق,Disease,Quran 49:12,,Secondary,Anxiety can drive spying
34,Tajassus,التجسس,Negative,18,Suspicion,سوء الظن,Universal_Cure,Quran 24:19,Sahih Muslim 2590,Universal,Satr is cure
35,Fuhsh,الفحش,Negative,1,Anger,الغضب,Disease,Quran 7:33,Sahih al-Bukhari 6117,Secondary,Anger can lead to obscenity
35,Fuhsh,الفحش,Negative,2,Jealousy,الحسد,Disease,Quran 7:33,,Secondary,Envy can manifest in obscenity
35,Fuhsh,الفحش,Negative,1,Anger,الغضب,Universal_Cure,Quran 7:26,Sahih al-Bukhari 6117,Universal,Haya is cure
36,Sabb,السب,Negative,1,Anger,الغضب,Disease,Quran 49:11,Sahih al-Bukhari 6044,Primary,Insulting from anger
36,Sabb,السب,Negative,16,Hatred,الحقد,Disease,Quran 49:11,,Secondary,Grudges cause insults
36,Sabb,السب,Negative,1,Anger,الغضب,Universal_Cure,Quran 3:159,Sahih Muslim 2593,Universal,Rifq is cure
37,La'n,اللعن,Negative,1,Anger,الغضب,Disease,Quran 33:58,Sahih Muslim 2597,Secondary,Anger can lead to cursing
37,La'n,اللعن,Negative,16,Hatred,الحقد,Disease,Quran 33:58,,Secondary,Grudges cause cursing
37,La'n,اللعن,Negative,1,Anger,الغضب,Universal_Cure,Quran 7:26,Sahih al-Bukhari 6117,Universal,Haya is cure
38,Jidal,الجدال,Negative,1,Anger,الغضب,Disease,Quran 16:125,Jami at-Tirmidhi 1993,Secondary,Anger can lead to arguing
38,Jidal,الجدال,Negative,11,Arrogance,الكبر,Disease,Quran 16:125,,Secondary,Pride causes disputes
38,Jidal,الجدال,Negative,12,Pride,العجب,Disease,Quran 16:125,,Secondary,Self-amazement causes disputes
38,Jidal,الجدال,Negative,1,Anger,الغضب,Universal_Cure,Quran 3:159,Sahih Muslim 2593,Universal,Rifq is cure
39,Mira',المراء,Negative,11,Arrogance,الكبر,Disease,Quran 18:54,Jami at-Tirmidhi 1993,Secondary,Pride causes disputation
39,Mira',المراء,Negative,12,Pride,العجب,Disease,Quran 18:54,,Secondary,Self-amazement causes arguing
39,Mira',المراء,Negative,1,Anger,الغضب,Disease,Quran 18:54,,Secondary,Anger can lead to disputation
40,Istihza',الاستهزاء,Negative,11,Arrogance,الكبر,Disease,Quran 49:11,Sahih Muslim 2564,Secondary,Pride causes mocking
40,Istihza',الاستهزاء,Negative,16,Hatred,الحقد,Disease,Quran 49:11,,Secondary,Grudges cause mockery
40,Istihza',الاستهزاء,Negative,1,Anger,الغضب,Disease,Quran 49:11,,Secondary,Anger can lead to mockery
40,Istihza',الاستهزاء,Negative,1,Anger,الغضب,Universal_Cure,Quran 3:159,Sahih Muslim 2593,Universal,Rifq is cure
41,Shahadat az-Zur,شهادة الزور,Negative,29,Kadhib,الكذب,Disease,Quran 22:30,Sahih al-Bukhari 2654,Primary,False witness
41,Shahadat az-Zur,شهادة الزور,Negative,2,Jealousy,الحسد,Disease,Quran 22:30,,Secondary,Envy can lead to false witness
41,Shahadat az-Zur,شهادة الزور,Negative,18,Suspicion,سوء الظن,Disease,Quran 22:30,,Secondary,Bad assumption causes false witness
41,Shahadat az-Zur,شهادة الزور,Negative,29,Kadhib,الكذب,Universal_Cure,Quran 9:119,Sahih al-Bukhari 6094,Universal,Sidq is cure
42,Ikhlaf al-Wa'd,إخلاف الوعد,Negative,29,Kadhib,الكذب,Disease,Quran 17:34,Sahih al-Bukhari 33,Primary,Breaking promises is lying
42,Ikhlaf al-Wa'd,إخلاف الوعد,Negative,30,Khiyanah,الخيانة,Disease,Quran 17:34,,Primary,Betrayal
42,Ikhlaf al-Wa'd,إخلاف الوعد,Negative,1,Anger,الغضب,Disease,Quran 17:34,,Secondary,Anger can cause breaking promises
42,Ikhlaf al-Wa'd,إخلاف الوعد,Negative,29,Kadhib,الكذب,Universal_Cure,Quran 17:34,Sahih al-Bukhari 33,Universal,Wafa bil-Ahd is cure
43,Qaswah fi al-Mu'amalah,القسوة في المعاملة,Negative,1,Anger,الغضب,Disease,Quran 3:159,Sahih Muslim 2593,Primary,Harshness in dealings
43,Qaswah fi al-Mu'amalah,القسوة في المعاملة,Negative,9,Hard-heartedness,قسوة القلب,Disease,Quran 3:159,,Primary,Hard dealings from hard heart
43,Qaswah fi al-Mu'amalah,القسوة في المعاملة,Negative,16,Hatred,الحقد,Disease,Quran 3:159,,Secondary,Grudges cause harshness
43,Qaswah fi al-Mu'amalah,القسوة في المعاملة,Negative,1,Anger,الغضب,Universal_Cure,Quran 3:159,Sahih Muslim 2593,Universal,Rifq is cure
44,Su' al-Khuluq,سوء الخلق,Negative,1,Anger,الغضب,Disease,Quran 68:4,Sahih Muslim 2321,Primary,Bad character from anger
44,Su' al-Khuluq,سوء الخلق,Negative,11,Arrogance,الكبر,Disease,Quran 68:4,,Secondary,Pride causes bad character
44,Su' al-Khuluq,سوء الخلق,Negative,16,Hatred,الحقد,Disease,Quran 68:4,,Secondary,Grudges cause bad character
44,Su' al-Khuluq,سوء الخلق,Negative,1,Anger,الغضب,Universal_Cure,Quran 68:4,Sahih Muslim 2321,Universal,Husn al-Khuluq is cure
45,Hijran al-Muslim,هجر المسلم,Negative,16,Hatred,الحقد,Disease,Quran 49:10,Sahih al-Bukhari 6077,Primary,Abandoning from hatred
45,Hijran al-Muslim,هجر المسلم,Negative,1,Anger,الغضب,Disease,Quran 49:10,,Secondary,Anger can cause abandoning
45,Hijran al-Muslim,هجر المسلم,Negative,9,Loneliness,الوحدة,Disease,Quran 49:10,,Secondary,Abandoning causes loneliness
45,Hijran al-Muslim,هجر المسلم,Negative,16,Hatred,الحقد,Universal_Cure,Quran 49:10,Sahih al-Bukhari 2692,Universal,Islah is cure
46,Hubb al-Madh,حب المدح,Negative,11,Arrogance,الكبر,Disease,Quran 53:32,Sahih Muslim 3001,Primary,Love of praise from pride
46,Hubb al-Madh,حب المدح,Negative,27,Envy of Status,حب الجاه,Disease,Quran 53:32,,Primary,Status seeking
46,Hubb al-Madh,حب المدح,Negative,13,Showing Off,الرياء,Disease,Quran 53:32,,Secondary,Showing off for praise
46,Hubb al-Madh,حب المدح,Negative,11,Arrogance,الكبر,Universal_Cure,Quran 98:5,Sahih al-Bukhari 1,Universal,Ikhlas is cure
47,Tafakhur,التفاخر,Negative,11,Arrogance,الكبر,Disease,Quran 102:1,Sahih Muslim 2865,Primary,Boasting from pride
47,Tafakhur,التفاخر,Negative,27,Envy of Status,حب الجاه,Disease,Quran 102:1,,Primary,Status boasting
47,Tafakhur,التفاخر,Negative,12,Pride,العجب,Disease,Quran 102:1,,Secondary,Self-amazement causes boasting
47,Tafakhur,التفاخر,Negative,11,Arrogance,الكبر,Universal_Cure,Quran 25:63,Sahih Muslim 2588,Universal,Tawadu is cure
48,Ta'ali,التعالي,Negative,11,Arrogance,الكبر,Disease,Quran 49:13,Sahih Muslim 2564,Primary,Haughtiness from pride
48,Ta'ali,التعالي,Negative,12,Pride,العجب,Disease,Quran 49:13,,Secondary,Self-amazement causes haughtiness
48,Ta'ali,التعالي,Negative,16,Hatred,الحقد,Disease,Quran 49:13,,Secondary,Grudges cause looking down
48,Ta'ali,التعالي,Negative,11,Arrogance,الكبر,Universal_Cure,Quran 25:63,Sahih Muslim 2588,Universal,Tawadu is cure
49,Raghbah fi ad-Dunya,الرغبة في الدنيا,Negative,15,Love of Dunya,حب الدنيا,Disease,Quran 57:20,Sahih al-Bukhari 6416,Primary,Desire for dunya
49,Raghbah fi ad-Dunya,الرغبة في الدنيا,Negative,26,Excessive Attachment,التعلق الزائد,Disease,Quran 57:20,,Primary,Excessive attachment
49,Raghbah fi ad-Dunya,الرغبة في الدنيا,Negative,1,Anger,الغضب,Disease,Quran 57:20,,Secondary,Anger over worldly matters
49,Raghbah fi ad-Dunya,الرغبة في الدنيا,Negative,15,Love of Dunya,حب الدنيا,Universal_Cure,Quran 57:20,Sahih Ibn Majah 4102,Universal,Zuhd is cure
50,Ujub bi al-'Amal,العجب بالعمل,Negative,12,Pride,العجب,Disease,Quran 53:32,Sahih Muslim 2818,Primary,Self-admiration of deeds
50,Ujub bi al-'Amal,العجب بالعمل,Negative,13,Showing Off,الرياء,Disease,Quran 53:32,,Secondary,Showing off through deeds
50,Ujub bi al-'Amal,العجب بالعمل,Negative,42,Sincerity,الإخلاص,Disease,Quran 53:32,,Secondary,Undermines sincerity
50,Ujub bi al-'Amal,العجب بالعمل,Negative,12,Pride,العجب,Universal_Cure,Quran 98:5,Sahih al-Bukhari 1,Universal,Ikhlas is cure
51,Kasal,الكسل,Negative,8,Laziness,الكسل,Disease,Quran 53:39,Sahih al-Bukhari 6369,Primary,Laziness itself
51,Kasal,الكسل,Negative,36,Laziness,الكسل,Disease,Quran 53:39,,Primary,Repeated
51,Kasal,الكسل,Negative,49,Sweetness of Worship,حلاوة العبادة,Disease,Quran 53:39,,Secondary,Blocks sweetness of worship
51,Kasal,الكسل,Negative,8,Laziness,الكسل,Universal_Cure,Quran 29:69,Sahih Muslim 2664,Universal,Mujahadah is cure
52,Ajz,العجز,Negative,8,Laziness,الكسل,Disease,Quran 8:60,Sahih Muslim 2664,Primary,Weakness
52,Ajz,العجز,Negative,22,Weak Faith,ضعف الإيمان,Disease,Quran 8:60,,Secondary,Weakens faith
52,Ajz,العجز,Negative,32,Weak Faith,ضعف الإيمان,Disease,Quran 8:60,,Secondary,Repeated
52,Ajz,العجز,Negative,4,Fear,الخوف,Disease,Quran 8:60,,Secondary,Weakness from fear
52,Ajz,العجز,Negative,8,Laziness,الكسل,Universal_Cure,Quran 3:159,Sahih al-Bukhari 6470,Universal,Tawakkul is cure
53,Jubn,الجبن,Negative,4,Fear,الخوف,Disease,Quran 3:175,Sahih al-Bukhari 6374,Primary,Cowardice from fear
53,Jubn,الجبن,Negative,7,Guilt,الندم,Disease,Quran 3:175,,Secondary,Guilt can cause cowardice
53,Jubn,الجبن,Negative,9,Hard-heartedness,قسوة القلب,Disease,Quran 3:175,,Secondary,Hard heart can be cowardly
53,Jubn,الجبن,Negative,4,Fear,الخوف,Universal_Cure,Quran 3:175,Sahih al-Bukhari 2820,Universal,Shaja'ah is cure
54,Hirs,الحرص,Negative,14,Greed,الطمع,Disease,Quran 102:1,Sahih Muslim 1051,Primary,Greedy grasping
54,Hirs,الحرص,Negative,39,Envy of Status,حب الجاه,Disease,Quran 102:1,,Secondary,Greed for status
54,Hirs,الحرص,Negative,14,Greed,الطمع,Universal_Cure,Quran 20:131,Sahih Muslim 1051,Universal,Qana'ah is cure
55,Israaf,الإسراف,Negative,14,Greed,الطمع,Disease,Quran 7:31,Sahih al-Bukhari 6091,Secondary,Wastefulness from greed
55,Israaf,الإسراف,Negative,15,Love of Dunya,حب الدنيا,Disease,Quran 7:31,,Primary,Dunya love causes waste
55,Israaf,الإسراف,Negative,1,Anger,الغضب,Disease,Quran 7:31,,Secondary,Anger can cause spending
