#,Name,Transliteration,Meaning
60,ٱلْمُحْيِي,Al-Muḥyī,The Giver of Life
61,ٱلْمُمِيتُ,Al-Mumīt,"The Taker of Life, The Causer of Death"
62,ٱلْحَيُّ,Al-Ḥayy,The Ever-Living
63,ٱلْقَيُّومُ,Al-Qayyūm,"The Sustainer, The Self-Subsisting"
64,ٱلْوَاجِدُ,Al-Wājid,"The Ever-Wealthy, The Self-Sufficient"
65,ٱلْمَاجِدُ,Al-Mājid,"The Noble, The Generous"
66,ٱلْوَاحِدُ,Al-Wāḥid,"The One, The Indivisible"
67,ٱلْأَحَدُ,Al-Aḥad,"The Unique, The Only One"
68,ٱلصَّمَدُ,Aṣ-Ṣamad,"The Self-Subsisting, The One Upon Whom All Depend"
69,ٱلْقَادِرُ,Al-Qādir,"The Omnipotent, The All-Able"
70,ٱلْمُقْتَدِرُ,Al-Muqtadir,"The All-Powerful, The Dominant"
71,ٱلْمُقَدِّمُ,Al-Muqaddim,"The Expediter, The Promoter"
72,ٱلْمُؤَخِّرُ,Al-Muʾakhkhir,"The Delayer, The Postponer"
73,ٱلْأَوَّلُ,Al-Awwal,"The First, The Pre-Existing"
74,ٱلْآخِرُ,Al-Ākhir,"The Last, The Ever-Remaining"
75,ٱلظَّاهِرُ,Aẓ-Ẓāhir,"The Manifest, The Highest"
76,ٱلْبَاطِنُ,Al-Bāṭin,"The Hidden One, Knower of the Hidden"
77,ٱلْوَالِي,Al-Wālī,The Sole Governor
78,ٱلْمُتَعَالِي,Al-Mutaʿālī,The Self-Exalted
79,ٱلْبَرُّ,Al-Barr,The Source of All Goodness
80,ٱلتَّوَابُ,At-Tawwāb,"The Accepter of Repentance, The Ever-Relenting"
81,ٱلْمُنْتَقِمُ,Al-Muntaqim,The Avenger
82,ٱلْعَفُوُّ,Al-ʿAfūw,The Pardoner
83,ٱلرَّءُوفُ,Ar-Raʾūf,The Most Kind
84,مَالِكُ ٱلْمُلْكِ,Mālik al-Mulk,"Master of the Dominion, Owner of the Kingdom"
85,ذُو ٱلْجَلَالِ وَٱلْإِكْرَامِ,Dhū al-Jalāli wa’l-Ikrām,Possessor of Glory and Honour
86,ٱلْمُقْسِطُ,Al-Muqsiṭ,The Just One
87,ٱلْجَامِعُ,Al-Jāmiʿ,"The Gatherer, the Uniter"
88,ٱلْغَنِيُّ,Al-Ghaniyy,"The Self-Sufficient, The Free of All Need"
89,ٱلْمُغْنِيُ,Al-Mughnī,The Enricher
90,ٱلْمَانِعُ,Al-Māniʿ,The Withholder
91,ٱلضَّارُّ,Aḍ-Ḍārr,The Creator of Harm
92,ٱلنَّافِعُ,An-Nāfiʿ,"The Propitious, The Benefactor"
93,ٱلنُّورُ,An-Nūr,The Light
94,ٱلْهَادِي,Al-Hādī,The Guide
95,ٱلْبَدِيعُ,Al-Badīʿ,The Incomparable Originator
96,ٱلْبَاقِي,Al-Bāqī,The Ever-Lasting
97,ٱلْوَارِثُ,Al-Wāriṯ,The Inheritor
98,ٱلرَّشِيدُ,Ar-Rashīd,The Guide to the Right Path
99,ٱلصَّبُورُ,Aṣ-Ṣabūr,The Patient
